id,date,symbol,type,entry,entry_time,exit,exit_time,exit_reason,qty,position_value,gross_pnl,charges,net_pnl,capital_after
393,2018-06-06,BAJAJFINSV,LONG,586.40,1000,591.40,1515,TIME_EXIT,50,29320,250.00,26.40,223.60,191132
394,2018-08-01,BAJAJFINSV,LONG,713.30,1015,705.81,1315,STOP_LOSS,50,35665,-374.39,31.78,-406.17,190726
395,2018-09-21,BAJAJFINSV,SHORT,632.45,1000,623.56,1145,TARGET,50,31623,444.51,28.12,416.39,191142
396,2018-11-02,BAJAJFINSV,LONG,555.10,1015,561.91,1315,TARGET,50,27755,340.34,25.04,315.29,191458
397,2019-02-13,BAJAJFINSV,LONG,617.35,1030,612.33,1500,STOP_LOSS,50,30868,-250.94,27.54,-278.48,191179
398,2020-03-26,BAJAJFINSV,LONG,529.75,1030,504.40,1330,STOP_LOSS,50,26488,-1267.31,23.10,-1290.42,189889
399,2020-05-05,BAJAJFINSV,SHORT,476.00,1000,467.46,1200,TARGET,50,23800,427.25,21.12,406.13,190295
400,2020-07-20,BAJAJFINSV,LONG,650.00,1030,657.12,1245,TARGET,50,32500,356.12,29.30,326.82,190622
401,2024-09-26,BAJAJHFL,LONG,156.85,1015,159.73,1045,TARGET,200,31370,575.93,28.40,547.53,191169
402,2024-12-03,BAJAJHFL,LONG,137.79,1030,136.60,1515,TIME_EXIT,250,34448,-297.50,30.72,-328.22,190841
403,2025-01-08,BAJAJHFL,LONG,123.13,1030,123.10,1515,TIME_EXIT,300,36939,-9.00,33.10,-42.10,190799
404,2025-01-24,BAJAJHFL,SHORT,109.85,1000,108.80,1430,TARGET,300,32955,316.47,29.38,287.10,191086
405,2025-01-27,BAJAJHFL,SHORT,105.84,1030,105.40,1515,TIME_EXIT,350,37044,154.00,33.12,120.88,191207
406,2025-06-02,BAJAJHFL,LONG,122.98,1000,122.25,1115,STOP_LOSS,300,36894,-218.56,32.95,-251.51,190955
407,2025-07-23,BAJAJHFL,LONG,122.44,1015,122.46,1515,TIME_EXIT,300,36732,6.00,32.92,-26.92,190928
408,2016-03-02,BAJFINANCE,LONG,64.50,1030,63.58,1315,STOP_LOSS,550,35475,-504.39,31.54,-535.93,190392
409,2016-08-03,BAJFINANCE,SHORT,103.00,1015,99.79,1500,TARGET,350,36050,1124.30,31.74,1092.55,191485
410,2016-12-27,BAJFINANCE,LONG,82.50,1030,81.03,1115,STOP_LOSS,450,37125,-660.46,32.94,-693.40,190792
411,2017-05-15,BAJFINANCE,LONG,134.00,1030,133.00,1515,TIME_EXIT,250,33500,-250.00,29.90,-279.90,190512
412,2017-09-21,BAJFINANCE,SHORT,189.00,1015,190.68,1415,STOP_LOSS,200,37800,-336.86,34.04,-370.91,190141
413,2018-04-20,BAJFINANCE,SHORT,186.50,1030,185.08,1315,TARGET,200,37300,283.99,33.29,250.70,190392
414,2018-07-20,BAJFINANCE,LONG,266.00,1030,272.59,1345,TARGET,100,26600,658.66,24.17,634.49,191026
415,2018-08-01,BAJFINANCE,LONG,276.00,1030,273.36,1315,STOP_LOSS,100,27600,-263.57,24.60,-288.18,190738
416,2018-09-11,BAJFINANCE,LONG,265.00,1030,260.35,1400,STOP_LOSS,100,26500,-465.20,23.52,-488.71,190249
417,2018-11-02,BAJFINANCE,LONG,246.00,1015,242.99,1400,STOP_LOSS,150,36900,-451.24,32.84,-484.08,189765
418,2019-05-09,BAJFINANCE,LONG,297.00,1000,297.00,1515,TIME_EXIT,100,29700,0.00,26.62,-26.62,189738
419,2019-05-14,BAJFINANCE,SHORT,286.50,1030,290.22,1345,STOP_LOSS,100,28650,-372.04,25.86,-397.91,189341
420,2019-09-20,BAJFINANCE,SHORT,331.00,1030,335.71,1045,STOP_LOSS,100,33100,-470.88,29.90,-500.78,188840
421,2020-01-28,BAJFINANCE,LONG,419.50,1030,422.25,1045,TARGET,50,20975,137.26,18.87,118.40,188958
422,2020-02-27,BAJFINANCE,SHORT,472.00,1015,476.00,1245,STOP_LOSS,50,23600,-200.18,21.25,-221.43,188737
423,2020-02-28,BAJFINANCE,SHORT,444.50,1030,454.71,1245,STOP_LOSS,50,22225,-510.39,20.17,-530.56,188206
424,2020-05-29,BAJFINANCE,LONG,193.50,1000,197.30,1030,TARGET,150,29025,570.65,26.30,544.35,188751
425,2020-09-07,BAJFINANCE,SHORT,354.00,1000,348.83,1430,TARGET,100,35400,517.19,31.47,485.73,189236
426,2020-10-14,BAJFINANCE,LONG,331.00,1030,335.12,1445,TARGET,100,33100,411.76,29.87,381.89,189618
427,2021-02-04,BAJFINANCE,LONG,533.50,1030,540.17,1230,TARGET,50,26675,333.58,24.07,309.51,189928
428,2021-05-17,BAJFINANCE,LONG,546.00,1015,539.73,1045,STOP_LOSS,50,27300,-313.51,24.31,-337.82,189590
429,2021-06-18,BAJFINANCE,SHORT,601.50,1030,608.40,1415,STOP_LOSS,50,30075,-344.88,27.13,-372.01,189218
430,2021-07-16,BAJFINANCE,LONG,615.50,1030,611.74,1200,STOP_LOSS,50,30775,-187.82,27.49,-215.31,189003
431,2021-08-31,BAJFINANCE,LONG,726.00,1015,732.83,1245,TARGET,50,36300,341.50,32.70,308.80,189311
432,2022-05-31,BAJFINANCE,LONG,612.50,1000,606.28,1515,STOP_LOSS,50,30625,-311.22,27.29,-338.51,188973
433,2022-10-27,BAJFINANCE,SHORT,701.00,1030,694.26,1315,TARGET,50,35050,337.07,31.24,305.83,189279
434,2022-12-23,BAJFINANCE,SHORT,636.50,1030,636.50,1515,TIME_EXIT,50,31825,0.00,28.52,-28.52,189250
435,2023-01-25,BAJFINANCE,SHORT,579.50,1015,582.73,1115,STOP_LOSS,50,28975,-161.47,26.05,-187.51,189063
436,2023-02-22,BAJFINANCE,SHORT,621.50,1015,619.00,1515,TIME_EXIT,50,31075,125.00,27.79,97.21,189160
437,2023-03-23,BAJFINANCE,LONG,589.50,1015,584.06,1345,STOP_LOSS,50,29475,-271.76,26.28,-298.04,188862
438,2023-04-21,BAJFINANCE,SHORT,590.50,1000,586.88,1245,TARGET,50,29525,181.03,26.37,154.66,189016
439,2023-08-21,BAJFINANCE,LONG,695.00,1030,700.72,1100,TARGET,50,34750,286.10,31.29,254.81,189271
440,2024-03-15,BAJFINANCE,LONG,652.50,1015,644.13,1215,STOP_LOSS,50,32625,-418.42,29.03,-447.45,188824
441,2024-10-09,BAJFINANCE,LONG,736.00,1015,728.06,1515,STOP_LOSS,50,36800,-397.20,32.78,-429.98,188394
442,2024-10-15,BAJFINANCE,SHORT,710.00,1030,704.34,1230,TARGET,50,35500,283.11,31.67,251.43,188645
443,2015-05-19,BANKBARODA,LONG,149.74,1000,147.79,1415,STOP_LOSS,250,37435,-487.41,33.30,-520.71,188125
444,2015-05-28,BANKBARODA,SHORT,147.32,1000,147.56,1515,TIME_EXIT,250,36830,-60.00,33.04,-93.04,188031
445,2015-10-20,BANKBARODA,LONG,164.24,1015,162.85,1430,STOP_LOSS,200,32848,-277.73,29.30,-307.03,187724
446,2016-06-14,BANKBARODA,LONG,136.54,1015,136.30,1515,TIME_EXIT,250,34135,-60.00,30.56,-90.56,187634
447,2017-06-21,BANKBARODA,LONG,156.31,1030,155.02,1430,STOP_LOSS,200,31262,-257.31,27.89,-285.20,187349
448,2017-09-13,BANKBARODA,LONG,132.53,1015,131.81,1515,TIME_EXIT,250,33132,-180.00,29.60,-209.60,187139
449,2017-09-22,BANKBARODA,SHORT,131.18,1015,129.64,1430,TARGET,250,32795,385.49,29.20,356.29,187495
450,2018-01-09,BANKBARODA,LONG,151.91,1015,150.35,1200,STOP_LOSS,200,30382,-311.87,27.07,-338.94,187156
451,2018-02-12,BANKBARODA,LONG,156.02,1030,155.93,1515,TIME_EXIT,200,31204,-18.00,27.96,-45.96,187110
